County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,All Children 100,-14.0%,-35.9%,-54.6%,-1.1%,-3.7%,0.0%,612985,136078,38425,6.49%,7.73%,5.23%,5.58%,4.96%,2.37%,1.9%,1.44%,0.89%,1.87%,1.39%,0.89%
Anne Arundel,All Children 100,-11.1%,-28.3%,-54.4%,0.0%,0.0%,0.0%,67952,12172,3194,11.41%,11.29%,18.17%,10.14%,8.09%,8.29%,4.32%,4.44%,1.36%,4.32%,4.44%,1.36%
Baltimore City,All Children 100,-3.8%,-9.2%,-6.5%,-6.3%,-17.4%,-5.7%,595705,122089,37354,25.0%,32.96%,27.93%,24.04%,29.92%,26.1%,8.98%,10.05%,7.24%,8.41%,8.31%,6.83%
Baltimore County,All Children 100,-9.9%,-18.2%,-21.9%,-11.0%,-30.0%,-33.6%,865896,186739,50331,12.71%,13.26%,17.1%,11.45%,10.84%,13.36%,4.63%,3.72%,3.27%,4.12%,2.6%,2.17%
Calvert,All Children 100,-2.3%,-2.9%,-5.4%,-7.5%,-9.8%,-45.5%,100193,23096,5039,8.5%,11.41%,9.66%,8.3%,11.09%,9.14%,4.45%,7.88%,7.81%,4.12%,7.1%,4.25%
Caroline,All Children 100,-3.2%,-7.5%,0.0%,0.0%,0.0%,0.0%,34804,6894,1570,8.34%,6.81%,4.1%,8.07%,6.3%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Carroll,All Children 100,-13.9%,-32.3%,-48.7%,-7.8%,-24.7%,-48.0%,178564,37240,8930,6.91%,7.66%,6.3%,5.95%,5.18%,3.24%,2.14%,2.16%,1.14%,1.97%,1.62%,0.59%
Cecil,All Children 100,-5.8%,-18.2%,0.0%,0.0%,0.0%,0.0%,108229,23069,6038,10.63%,7.59%,6.29%,10.02%,6.21%,6.29%,4.68%,2.96%,0.28%,4.68%,2.96%,0.28%
Charles,All Children 100,-9.0%,-15.1%,0.0%,0.0%,0.0%,0.0%,174238,41222,9237,9.07%,11.21%,8.54%,8.25%,9.52%,8.54%,2.44%,1.52%,1.59%,2.44%,1.52%,1.59%
Dorchester,All Children 100,-3.2%,-7.5%,0.0%,0.0%,0.0%,0.0%,33845,6704,1526,8.34%,6.81%,4.1%,8.07%,6.3%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
