District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-9.8%,-20.7%,-20.1%,-7.4%,-19.1%,-23.7%,"6,319,406","1,390,540","376,011",12.54%,14.83%,15.85%,11.31%,11.75%,12.66%,4.1%,3.83%,3.55%,3.8%,3.1%,2.71%
1,-12.1%,-29.3%,-55.3%,0.0%,0.0%,0.0%,"114,171","21,238","5,578",11.09%,11.01%,15.92%,9.75%,7.78%,7.11%,4.14%,4.21%,1.4%,4.14%,4.21%,1.4%
2,-18.2%,-34.0%,-66.3%,0.0%,0.0%,0.0%,"133,897","29,705","7,835",9.38%,9.82%,6.53%,7.67%,6.49%,2.2%,3.2%,3.23%,1.57%,3.2%,3.23%,1.57%
3,-11.4%,-24.0%,-9.4%,-1.1%,-3.7%,0.0%,"140,519","30,562","8,475",11.01%,13.21%,14.64%,9.75%,10.04%,13.26%,3.18%,2.98%,2.2%,3.15%,2.87%,2.2%
4,-5.2%,-11.7%,-4.2%,-6.9%,-20.4%,-1.7%,"148,118","34,677","8,386",8.84%,7.88%,10.27%,8.38%,6.96%,9.83%,2.63%,2.6%,2.61%,2.45%,2.07%,2.57%
5,-13.9%,-32.3%,-48.7%,-7.8%,-24.7%,-48.0%,"137,094","28,591","6,856",6.91%,7.66%,6.3%,5.95%,5.18%,3.24%,2.14%,2.16%,1.14%,1.97%,1.62%,0.59%
6,-7.6%,-2.9%,0.0%,-16.7%,-30.0%,-11.4%,"125,612","26,628","6,496",15.17%,14.16%,9.6%,14.02%,13.75%,9.6%,5.42%,7.38%,3.69%,4.51%,5.17%,3.27%
7,-0.9%,-0.8%,-1.5%,-5.6%,-16.4%,-24.3%,"141,761","29,232","7,021",9.18%,10.41%,18.82%,9.1%,10.33%,18.53%,3.09%,2.59%,5.95%,2.91%,2.16%,4.5%
8,0.0%,0.0%,0.0%,-7.3%,-29.1%,-33.8%,"131,122","27,580","8,905",14.39%,15.57%,32.23%,14.39%,15.57%,32.23%,6.03%,4.38%,6.95%,5.59%,3.11%,4.6%
9,-4.2%,-9.0%,-16.9%,-1.5%,-5.9%,-8.9%,"151,926","35,148","8,316",7.37%,7.75%,4.41%,7.06%,7.05%,3.67%,2.07%,1.5%,1.04%,2.04%,1.41%,0.95%
10,-24.8%,-37.7%,-36.2%,-15.0%,-31.1%,-100.0%,"130,560","29,765","8,255",15.18%,16.71%,16.48%,11.41%,10.42%,10.51%,3.46%,3.59%,1.35%,2.94%,2.47%,0.0%
11,-11.4%,-19.5%,-22.1%,-9.8%,-32.7%,-100.0%,"133,964","29,445","6,855",10.98%,10.98%,10.36%,9.73%,8.84%,8.07%,3.32%,2.32%,1.37%,3.0%,1.56%,0.0%
12,-13.3%,-38.4%,-72.4%,-10.0%,-29.6%,0.0%,"130,908","30,119","8,140",9.13%,9.12%,10.98%,7.91%,5.62%,3.03%,3.33%,1.13%,0.7%,2.99%,0.79%,0.7%
13,-6.2%,-14.1%,-9.7%,0.0%,0.0%,0.0%,"148,746","36,389","9,944",8.0%,7.1%,7.09%,7.51%,6.1%,6.4%,2.77%,1.24%,2.54%,2.77%,1.24%,2.54%
14,-6.1%,-10.3%,-9.0%,-9.8%,-28.8%,-44.7%,"141,946","34,745","8,938",11.1%,13.73%,21.21%,10.42%,12.33%,19.3%,3.1%,1.94%,2.41%,2.79%,1.38%,1.33%
15,-5.5%,-9.7%,-18.2%,-12.4%,-39.2%,-60.5%,"132,970","28,885","6,485",9.97%,11.83%,13.4%,9.42%,10.69%,10.96%,2.98%,2.5%,3.49%,2.61%,1.52%,1.38%
16,-5.5%,-11.9%,-44.2%,-0.2%,-0.8%,-2.5%,"135,524","28,924","6,520",8.85%,9.7%,11.52%,8.36%,8.54%,6.43%,3.17%,2.68%,1.39%,3.16%,2.66%,1.35%
17,-5.3%,-10.6%,-14.5%,-24.8%,-70.2%,-95.7%,"148,403","29,757","6,458",16.22%,17.74%,30.46%,15.35%,15.86%,26.06%,4.34%,4.28%,5.68%,3.27%,1.28%,0.24%
18,-16.2%,-22.5%,-28.0%,-20.1%,-39.7%,-56.0%,"141,526","33,390","10,140",17.74%,22.69%,27.84%,14.86%,17.57%,20.04%,4.81%,5.14%,2.75%,3.84%,3.1%,1.21%
19,-15.3%,-19.4%,-22.5%,-27.3%,-53.0%,-69.0%,"150,024","36,757","11,018",18.45%,23.88%,31.94%,15.63%,19.25%,24.77%,4.64%,4.89%,3.29%,3.38%,2.3%,1.02%
20,-12.5%,-27.4%,-23.0%,-2.8%,-7.1%,-19.3%,"141,303","32,012","10,488",18.06%,19.34%,20.63%,15.8%,14.04%,15.89%,5.47%,4.3%,2.41%,5.32%,4.0%,1.94%
21,-9.5%,-21.5%,-9.6%,-3.6%,-14.4%,-20.1%,"136,306","30,625","10,004",13.09%,15.44%,20.47%,11.85%,12.13%,18.5%,4.09%,2.7%,3.05%,3.94%,2.32%,2.44%
22,-18.2%,-34.8%,-29.4%,-3.0%,-7.1%,-6.8%,"136,174","33,568","11,380",17.81%,24.96%,23.77%,14.57%,16.27%,16.78%,4.47%,4.52%,6.21%,4.34%,4.2%,5.79%
23,-28.6%,-65.4%,-13.1%,0.0%,0.0%,0.0%,"133,548","27,862","6,988",8.28%,13.2%,9.53%,5.91%,4.57%,8.29%,2.06%,0.63%,0.54%,2.06%,0.63%,0.54%
24,-28.9%,-53.9%,-49.9%,-5.6%,-38.7%,0.0%,"130,034","28,421","7,178",15.42%,24.75%,20.26%,10.97%,11.41%,10.15%,2.82%,1.17%,0.5%,2.67%,0.72%,0.5%
25,-25.5%,-51.4%,-46.2%,-4.0%,-27.6%,0.0%,"126,098","26,868","6,876",14.22%,21.17%,17.79%,10.59%,10.28%,9.57%,2.84%,1.21%,0.45%,2.73%,0.88%,0.45%
26,-11.2%,-35.4%,-18.6%,0.0%,0.0%,0.0%,"127,742","24,824","6,997",12.88%,9.74%,10.27%,11.43%,6.29%,8.36%,4.05%,1.66%,0.92%,4.05%,1.66%,0.92%
27,-6.6%,-9.4%,-17.2%,-5.5%,-8.7%,-43.1%,"149,479","33,013","7,725",9.07%,11.99%,13.06%,8.47%,10.86%,10.82%,3.18%,4.84%,4.18%,3.01%,4.42%,2.38%
