District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-2.1%,-4.4%,-10.2%,-3.5%,-9.0%,-21.3%,"6,319,406","1,390,540","376,011",12.54%,14.83%,15.85%,12.28%,14.18%,14.23%,4.1%,3.83%,3.55%,3.96%,3.49%,2.79%
1,-8.0%,-19.1%,-50.2%,0.0%,0.0%,0.0%,"114,171","21,238","5,578",11.09%,11.01%,15.92%,10.2%,8.91%,7.93%,4.14%,4.21%,1.4%,4.14%,4.21%,1.4%
2,-4.4%,-9.2%,-52.2%,0.0%,0.0%,0.0%,"133,897","29,705","7,835",9.38%,9.82%,6.53%,8.97%,8.92%,3.12%,3.2%,3.23%,1.57%,3.2%,3.23%,1.57%
3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"140,519","30,562","8,475",11.01%,13.21%,14.64%,11.01%,13.21%,14.64%,3.18%,2.98%,2.2%,3.18%,2.98%,2.2%
4,-0.5%,-1.4%,-2.4%,0.0%,0.0%,0.0%,"148,118","34,677","8,386",8.84%,7.88%,10.27%,8.8%,7.77%,10.02%,2.63%,2.6%,2.61%,2.63%,2.6%,2.61%
5,-6.7%,-17.3%,-48.7%,0.0%,0.0%,0.0%,"137,094","28,591","6,856",6.91%,7.66%,6.3%,6.45%,6.33%,3.24%,2.14%,2.16%,1.14%,2.14%,2.16%,1.14%
6,0.0%,0.0%,0.0%,-0.5%,-1.4%,-11.4%,"125,612","26,628","6,496",15.17%,14.16%,9.6%,15.17%,14.16%,9.6%,5.42%,7.38%,3.69%,5.39%,7.28%,3.27%
7,-0.4%,-0.7%,-1.5%,-4.6%,-13.4%,-24.3%,"141,761","29,232","7,021",9.18%,10.41%,18.82%,9.14%,10.34%,18.53%,3.09%,2.59%,5.95%,2.94%,2.24%,4.5%
8,0.0%,0.0%,0.0%,-3.4%,-17.3%,-33.8%,"131,122","27,580","8,905",14.39%,15.57%,32.23%,14.39%,15.57%,32.23%,6.03%,4.38%,6.95%,5.82%,3.62%,4.6%
9,-1.1%,-2.8%,-11.7%,0.0%,0.0%,0.0%,"151,926","35,148","8,316",7.37%,7.75%,4.41%,7.28%,7.53%,3.9%,2.07%,1.5%,1.04%,2.07%,1.5%,1.04%
10,-3.2%,-2.1%,-7.7%,-14.3%,-30.5%,-100.0%,"130,560","29,765","8,255",15.18%,16.71%,16.48%,14.69%,16.36%,15.21%,3.46%,3.59%,1.35%,2.96%,2.5%,0.0%
